"pointNum","accumDst","foo","elevation-n-vancouver","elevation-s-vancouver","value"
201,1608,,-2147483648,77,77
202,1616,,-2147483648,77,77
203,1624,,-2147483648,77,77
204,1632,,-2147483648,77,77
205,1640,,-2147483648,77,77
206,1648,,-2147483648,77,77
207,1656,,-2147483648,77,77
208,1664,,-2147483648,78,78
209,1672,,-2147483648,78,78
210,1680,,-2147483648,78,78
211,1688,,-2147483648,79,79
212,1696,,-2147483648,79,79
213,1704,,-2147483648,80,80
214,1712,,-2147483648,80,80
215,1720,,-2147483648,80,80
216,1728,,-2147483648,80,80
217,1736,,-2147483648,80,80
218,1744,,-2147483648,79,79
219,1752,,-2147483648,79,79
220,1760,,-2147483648,79,79
221,1768,,-2147483648,80,80
222,1776,,-2147483648,80,80
223,1784,,-2147483648,82,82
224,1792,,-2147483648,82,82
225,1800,,-2147483648,82,82
226,1808,,-2147483648,81,81
227,1816,,-2147483648,81,81
228,1824,,-2147483648,82,82
229,1832,,-2147483648,82,82
230,1840,,-2147483648,82,82
231,1848,,-2147483648,82,82
232,1856,,-2147483648,82,82
233,1864,,-2147483648,83,83
234,1872,,-2147483648,83,83
235,1880,,-2147483648,83,83
236,1888,,-2147483648,83,83
237,1896,,-2147483648,83,83
238,1904,,-2147483648,84,84
239,1912,,-2147483648,84,84
240,1920,,-2147483648,87,87
241,1928,,-2147483648,87,87
242,1936,,-2147483648,87,87
243,1944,,-2147483648,88,88
244,1952,,-2147483648,88,88
245,1960,,-2147483648,88,88
246,1968,,-2147483648,88,88
247,1976,,-2147483648,88,88
248,1984,,-2147483648,88,88
249,1992,,-2147483648,88,88
250,2000,,-2147483648,89,89
251,2008,,-2147483648,89,89
252,2016,,-2147483648,89,89
253,2024,,-2147483648,89,89
254,2032,,-2147483648,89,89
255,2040,,-2147483648,89,89
256,2048,,-2147483648,89,89
257,2056,,-2147483648,89,89
258,2064,,-2147483648,89,89
259,2072,,-2147483648,89,89
260,2080,,-2147483648,90,90
261,2088,,-2147483648,90,90
262,2096,,-2147483648,90,90
263,2104,,-2147483648,90,90
264,2112,,-2147483648,90,90
265,2120,,-2147483648,90,90
266,2128,,-2147483648,90,90
267,2136,,-2147483648,91,91
268,2144,,-2147483648,91,91
269,2152,,-2147483648,91,91
270,2160,,-2147483648,91,91
271,2168,,-2147483648,91,91
272,2176,,-2147483648,91,91
273,2184,,-2147483648,91,91
274,2192,,-2147483648,91,91
275,2200,,-2147483648,92,92
276,2208,,-2147483648,92,92
277,2216,,-2147483648,92,92
278,2224,,-2147483648,92,92
279,2232,,-2147483648,92,92
280,2240,,-2147483648,92,92
281,2248,,-2147483648,92,92
282,2256,,-2147483648,92,92
283,2264,,-2147483648,92,92
284,2272,,-2147483648,93,93
285,2280,,-2147483648,93,93
286,2288,,-2147483648,93,93
287,2296,,-2147483648,95,95
288,2304,,-2147483648,95,95
289,2312,,-2147483648,95,95
290,2320,,-2147483648,95,95
291,2328,,-2147483648,95,95
292,2336,,-2147483648,94,94
293,2344,,-2147483648,94,94
294,2352,,-2147483648,95,95
295,2360,,-2147483648,95,95
296,2368,,-2147483648,95,95
297,2376,,-2147483648,95,95
298,2384,,-2147483648,95,95
299,2392,,-2147483648,96,96
300,2400,,-2147483648,96,96
301,2408,,-2147483648,96,96
302,2416,,-2147483648,96,96
303,2424,,-2147483648,96,96
304,2432,,-2147483648,96,96
305,2440,,-2147483648,96,96
306,2448,,-2147483648,95,95
307,2456,,-2147483648,95,95
308,2464,,-2147483648,95,95
309,2472,,-2147483648,95,95
310,2480,,-2147483648,95,95
311,2488,,-2147483648,95,95
312,2496,,-2147483648,95,95
313,2504,,-2147483648,95,95
314,2512,,-2147483648,95,95
315,2520,,-2147483648,95,95
316,2528,,-2147483648,95,95
